Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
24.0,4.8,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,20002.52025624097
29.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,17,20002.52025624097
,,,,1,Drinks,scooter,0.0,No,Metropolitian,19,20002.520256238895
26.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,10,20002.520256238895
20.0,4.5,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,27,20002.520256238895
35.0,4.1,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,37,20002.520256238895
39.0,4.6,Fog,Jam,1,Drinks,scooter,2.0,No,Metropolitian,44,20002.520256236596
34.0,4.7,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,28,20002.520256236596
27.0,4.7,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,42,20002.520256236596
30.0,4.8,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,25,20002.520256217802
25.0,4.4,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,39,20002.520256217802
25.0,4.7,Stormy,Medium,0,Meal,motorcycle,0.0,No,Urban,20,20002.520256217802
30.0,5.0,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,31,20002.520256217802
24.0,4.6,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,13,20002.520256211184
39.0,4.8,Stormy,Jam,1,Meal,motorcycle,,No,Metropolitian,28,20002.520256211184
25.0,4.8,Windy,High,1,Snack,scooter,1.0,No,Urban,19,20002.520256211184
37.0,4.6,Fog,Low,0,Buffet,motorcycle,2.0,Yes,Urban,42,20002.520256208547
24.0,5.0,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,20002.520256208547
25.0,4.2,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,39,20002.520256208547
32.0,4.6,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,25,20002.520256208547
34.0,4.7,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,15,20002.520256200485
38.0,4.9,Cloudy,Low,2,Drinks,scooter,1.0,No,Urban,15,20002.520256200485
36.0,4.8,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,15,20002.520256200485
25.0,5.0,Stormy,Jam,1,Meal,motorcycle,,No,Metropolitian,15,20002.520256200485
29.0,5.0,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,18,20002.52025619676
36.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,29,20002.52025619676
33.0,4.7,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,20,20002.52025619676
36.0,4.4,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,39,20002.52025619676
21.0,4.8,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,19,20002.52025619003
25.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Urban,19,20002.52025619003
23.0,4.8,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,17,20002.52025619003
25.0,4.6,Stormy,Low,2,Snack,motorcycle,1.0,No,Urban,15,20002.52025619003
24.0,4.3,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Urban,19,20002.520256189728
27.0,4.6,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.520256189728
23.0,4.8,Cloudy,Low,2,Snack,scooter,1.0,No,Urban,22,20002.520256189728
21.0,4.3,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,42,20002.520256177275
27.0,4.7,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,12,20002.520256177275
32.0,4.2,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,38,20002.520256177275
25.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,20002.520251727365
39.0,4.7,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,15,20002.520251719383
27.0,4.6,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,20002.520251719383
39.0,3.8,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,37,20002.520251676986
31.0,4.8,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,24,20002.520251676986
31.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,13,20002.520251676986
20.0,4.8,Cloudy,Low,0,Drinks,motorcycle,0.0,No,,16,20002.5202516745
36.0,4.9,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,42,20002.5202516745
20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,17,20002.5202516745
24.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,25,20002.5202516745
,,,,3,Snack,electric_scooter,0.0,No,Metropolitian,25,20002.5202516745
39.0,4.2,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,39,20002.5202516745
37.0,4.8,Sunny,High,2,Meal,scooter,0.0,No,Metropolitian,18,20002.5202516745
32.0,4.9,Sandstorms,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,28,20002.5202516745
22.0,4.5,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,20002.520251672508
23.0,4.9,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,18,20002.520251672508
33.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,49,20002.520251672508
23.0,,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,15,20002.520251672293
27.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.520251672293
34.0,4.7,Sunny,High,2,Snack,scooter,0.0,No,Metropolitian,23,20002.520251672293
26.0,5.0,Fog,Low,2,Meal,scooter,1.0,No,Urban,11,20002.520251672246
31.0,4.6,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,25,20002.520251672246
32.0,4.9,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,18,20002.520251671245
27.0,4.7,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,14,20002.520251671245
21.0,4.9,Windy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,36,20002.520251671245
28.0,4.8,Fog,Low,1,Drinks,motorcycle,,No,Metropolitian,18,20002.520251671245
24.0,4.9,Fog,Medium,1,Meal,scooter,1.0,No,Urban,17,20002.520251671245
33.0,4.4,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,20002.520251671245
20.0,4.6,Fog,Jam,0,Buffet,motorcycle,0.0,Yes,Metropolitian,44,20002.520251671107
31.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20,20002.520251671107
,,Stormy,Low,2,Snack,scooter,0.0,No,,19,20002.520251671107
36.0,5.0,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,35,20002.520251669677
31.0,4.2,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,50,20002.520251669677
39.0,4.1,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,34,20002.520251669677
29.0,4.6,Sunny,Jam,2,Meal,electric_scooter,,No,Metropolitian,17,20002.520251668342
29.0,4.6,Sandstorms,High,1,Snack,scooter,0.0,No,Urban,23,20002.520251668342
37.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.520251668342
33.0,4.7,Cloudy,High,0,Snack,motorcycle,0.0,No,Urban,26,20002.520251668342
31.0,3.9,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,35,20002.520251666898
37.0,4.6,Windy,High,0,Drinks,motorcycle,1.0,No,Urban,41,20002.520251666898
26.0,4.4,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,23,20002.520251666898
24.0,4.6,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,30,20002.520251666898
23.0,4.8,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,19,20002.52025139077
36.0,4.9,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,20002.52025139077
39.0,4.8,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,28,20002.52025139077
20.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,24,20002.52025139077
20.0,5.0,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Urban,36,20002.52025139077
29.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,28,20002.52025139077
36.0,4.8,Fog,Medium,2,Drinks,motorcycle,1.0,No,Urban,31,20002.52025139077
36.0,4.0,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,44,20002.52025139077
22.0,4.8,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,15,20002.52025139077
38.0,4.4,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,20002.52025139077
39.0,4.9,Fog,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,30,20002.52025139077
24.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,20002.52025139077
30.0,4.1,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,43,20002.52025139077
35.0,4.8,Fog,Medium,0,Meal,motorcycle,3.0,No,Metropolitian,48,20002.52025139077
33.0,4.5,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,20002.52025139077
39.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Urban,21,20002.520251342885
31.0,4.3,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,44,20002.520251342885
37.0,4.5,Windy,Low,2,Drinks,scooter,0.0,No,Metropolitian,26,20002.520251342885
37.0,4.7,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,26,20002.520251342885
33.0,5.0,Windy,High,1,Meal,motorcycle,1.0,No,Metropolitian,31,20002.520251342885
24.0,4.6,Stormy,Low,2,Meal,scooter,1.0,No,Urban,19,20002.520251342885
33.0,4.5,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,18,20002.520251342885
39.0,4.7,Fog,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,38,20002.520251342885
37.0,4.6,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,32,20002.520251342885
25.0,4.9,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,17,20002.520251342885
28.0,4.8,Fog,Medium,1,Buffet,scooter,1.0,No,Urban,11,20002.520251342885
38.0,4.7,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,31,20002.520251342885
,,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,43,20002.520251332953
31.0,4.6,Windy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,25,20002.520251332953
25.0,4.8,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,22,20002.520251332953
35.0,4.9,Fog,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,43,20002.520251332953
39.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,42,20002.520251332953
38.0,3.9,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,42,20002.520251332953
35.0,4.7,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,34,20002.520251332953
29.0,4.7,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,17,20002.520251332953
27.0,4.6,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,25,20002.520251332953
38.0,4.3,Sandstorms,Jam,0,Meal,motorcycle,1.0,Yes,Semi-Urban,54,20002.520251332953
36.0,4.9,Windy,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,21,20002.520251332953
26.0,4.0,Cloudy,High,1,Buffet,motorcycle,,No,Metropolitian,34,20002.520251332953
26.0,4.1,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,36,20002.520251332953
36.0,4.9,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,17,20002.520251332953
21.0,4.7,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,20002.520251332953
35.0,4.7,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,27,20002.520251332953
20.0,4.5,Fog,High,2,Meal,motorcycle,1.0,No,Metropolitian,26,20002.520251332742
23.0,4.6,Fog,Jam,0,Snack,motorcycle,2.0,Yes,Metropolitian,46,20002.520251332742
37.0,5.0,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,29,20002.520251332742
26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,23,20002.520251332742
29.0,5.0,Sandstorms,Low,1,Snack,scooter,,No,Urban,11,20002.520251332742
26.0,4.9,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,28,20002.520251332742
29.0,4.8,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,25,20002.520251332742
29.0,4.7,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Metropolitian,11,20002.520251332742
21.0,4.9,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,26,20002.520251332742
22.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,20002.520251332742
31.0,4.0,Fog,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,39,20002.520251332742
20.0,4.5,Fog,Low,1,Snack,motorcycle,0.0,No,,11,20002.520251332742
30.0,3.9,Stormy,Jam,2,Drinks,electric_scooter,,No,Metropolitian,32,20002.520251332742
36.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,43,20002.520251332742
24.0,4.7,Fog,Medium,1,Buffet,scooter,,No,Metropolitian,13,20002.520251332055
32.0,4.7,Windy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,25,20002.520251332055
25.0,5.0,Windy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,27,20002.520251332055
27.0,4.5,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,29,20002.520251332055
32.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,20002.520251332055
23.0,4.7,Fog,Medium,1,Drinks,motorcycle,1.0,No,Urban,19,20002.520251332055
39.0,4.4,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,33,20002.520251332055
20.0,4.8,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,28,20002.520251332055
20.0,4.8,Windy,Medium,2,Drinks,electric_scooter,0.0,No,,15,20002.520251332055
29.0,4.6,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,29,20002.520251332055
26.0,4.9,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20002.520251332055
25.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,14,20002.520251332055
34.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,30,20002.520251332055
31.0,4.9,Sunny,High,0,Snack,motorcycle,0.0,No,Metropolitian,28,20002.520251332055
24.0,4.7,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,39,20002.520251332055
30.0,4.9,Cloudy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,30,20002.520251332055
36.0,4.8,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,36,20002.520251332055
36.0,4.4,Fog,Low,0,Snack,motorcycle,,No,Metropolitian,37,20002.520251332055
26.0,4.7,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,43,20002.520251329926
30.0,4.6,Sunny,Low,2,Buffet,scooter,1.0,No,,29,20002.520251329926
20.0,4.8,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,25,20002.520251329926
33.0,4.7,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Urban,15,20002.520251329926
,,Sandstorms,Jam,1,Snack,scooter,0.0,No,Metropolitian,24,20002.520251329926
34.0,4.0,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,39,20002.520251329926
36.0,4.6,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.520251329926
33.0,4.6,Fog,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,15,20002.520251329926
22.0,4.8,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,16,20002.520251329926
38.0,4.7,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,19,20002.520251329926
27.0,4.9,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,20,20002.520251329926
32.0,4.8,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,25,20002.520251329926
26.0,4.8,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,43,20002.520251329177
29.0,4.5,Windy,Low,0,Drinks,motorcycle,0.0,No,Urban,15,20002.520251329177
31.0,4.5,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Urban,29,20002.520251329177
28.0,4.6,Stormy,High,2,Drinks,motorcycle,0.0,No,Metropolitian,14,20002.520251329177
21.0,4.8,Sunny,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,11,20002.520251329177
21.0,4.0,Sandstorms,Low,0,Buffet,motorcycle,,No,Metropolitian,19,20002.520251329177
30.0,4.9,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.520251329177
29.0,4.7,Cloudy,Medium,2,Buffet,motorcycle,1.0,No,Urban,11,20002.520251329177
20.0,4.8,Sunny,High,1,Snack,motorcycle,0.0,No,Metropolitian,14,20002.520251329177
28.0,5.0,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,15,20002.520251329177
25.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,20002.520251329177
,,,,3,Buffet,motorcycle,1.0,Yes,Urban,43,20002.520251329177
38.0,4.8,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.520251329177
39.0,4.9,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,26,20002.520251329177
26.0,4.9,Windy,Medium,1,Snack,scooter,0.0,No,Metropolitian,26,20002.520251329177
33.0,4.4,Windy,Jam,1,Meal,motorcycle,0.0,No,Urban,43,20002.520251327653
24.0,4.6,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Urban,25,20002.520251327653
24.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,28,20002.520251327653
33.0,4.5,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,17,20002.520251327653
35.0,4.2,Windy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,44,20002.520251327653
27.0,4.2,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,33,20002.520251327653
,,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,20002.520251327653
29.0,4.5,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,15,20002.520251327653
34.0,4.7,Fog,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,20002.520251327653
20.0,4.7,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,25,20002.520251327653
29.0,4.8,Sunny,High,1,Drinks,motorcycle,1.0,No,Metropolitian,18,20002.520251327653
22.0,4.9,Stormy,Medium,2,Snack,scooter,0.0,No,Metropolitian,21,20002.520251327653
35.0,4.9,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,53,20002.520251327653
32.0,4.4,Sandstorms,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,42,20002.520251320853
28.0,4.9,Sunny,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,20,20002.520251320853
30.0,4.7,Fog,Low,1,Meal,scooter,0.0,No,Metropolitian,29,20002.520251320853
22.0,4.7,Stormy,Jam,2,Snack,scooter,0.0,No,Urban,15,20002.520251320853
36.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,30,20002.520251320853
23.0,4.8,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,28,20002.520251320853
22.0,4.8,Stormy,Low,2,Drinks,motorcycle,1.0,No,,19,20002.520251320853
29.0,4.5,Sandstorms,Low,2,Meal,motorcycle,1.0,No,Metropolitian,15,20002.520251320853
34.0,4.9,Sandstorms,Jam,0,Buffet,motorcycle,3.0,Yes,Urban,50,20002.520251320853
38.0,4.1,Stormy,High,0,Buffet,motorcycle,1.0,Yes,Metropolitian,41,20002.520251320853
35.0,5.0,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,37,20002.520251320853
38.0,4.7,Cloudy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,28,20002.520251320853
32.0,4.3,Cloudy,Medium,1,Meal,scooter,2.0,No,Metropolitian,35,20002.520251320853
20.0,4.5,Windy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.520251320853
25.0,4.9,Fog,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,43,20002.520251320853
29.0,4.5,Fog,Low,2,Meal,scooter,0.0,No,,12,20002.520251320853
