,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
19,23.0,4.8,Windy,Low,2,Buffet,electric_scooter,0.0,No,Urban,12,20002.520257032207
20,31.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,26,20002.520257032207
21,36.0,4.1,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,22,20002.52025703129
22,26.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,21,20002.52025703129
23,38.0,4.9,Cloudy,High,1,Drinks,scooter,1.0,No,Urban,25,20002.52025703129
24,32.0,3.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,35,20002.520257028576
25,32.0,4.6,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,30,20002.520257028576
26,33.0,4.9,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,22,20002.52025702837
27,20.0,4.7,Windy,High,1,Snack,scooter,0.0,No,Urban,10,20002.52025702837
28,20.0,4.8,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,19,20002.520257028355
29,35.0,5.0,Sunny,Low,2,Snack,scooter,1.0,No,Urban,11,20002.520257028355
30,26.0,4.9,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,11,20002.520257028355
31,22.0,4.8,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,28,20002.520257028125
32,35.0,4.3,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,33,20002.520257028125
33,,,Cloudy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,33,20002.520257028125
34,37.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,52,20002.520257027973
35,28.0,4.6,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,22,20002.520257027973
36,37.0,4.9,Fog,Low,1,Snack,scooter,1.0,No,Urban,16,20002.520257027798
37,23.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,11,20002.520257027798
38,27.0,4.9,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,25,20002.520257027798
39,37.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,26,20002.520257027798
40,33.0,5.0,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,18,20002.520257023803
41,31.0,4.9,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,20002.520257023803
42,31.0,4.8,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,23,20002.520257023803
43,25.0,5.0,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,15,20002.520257023803
44,28.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36,20002.520257019383
45,31.0,4.7,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,16,20002.520257019383
46,24.0,4.7,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Urban,19,20002.520257019383
47,39.0,4.6,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,27,20002.520257017437
48,39.0,4.2,Fog,Jam,2,Snack,scooter,1.0,No,Semi-Urban,49,20002.520257017437
49,32.0,4.5,Windy,Low,2,Buffet,scooter,0.0,No,,20,20002.520257017437
50,36.0,4.7,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,30,20002.520257017437
51,25.0,4.8,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,18,20002.520257017288
52,33.0,4.9,Sunny,Jam,2,Drinks,scooter,0.0,No,Metropolitian,22,20002.520257017288
53,30.0,4.4,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,34,20002.520257017288
54,33.0,5.0,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,24,20002.520257017288
55,36.0,4.9,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,17,20002.52025699965
56,21.0,4.8,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,14,20002.52025699965
57,39.0,4.9,Stormy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,30,20002.52025699965
58,23.0,4.8,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,15,20002.520256255022
59,35.0,4.8,Fog,Medium,2,Buffet,scooter,1.0,No,Urban,16,20002.520256255022
60,39.0,4.6,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,36,20002.52025624634
61,22.0,4.7,Sunny,High,1,Buffet,scooter,1.0,No,Urban,18,20002.52025624634
62,32.0,4.6,Fog,Medium,1,Meal,scooter,0.0,No,Metropolitian,17,20002.52025624097
63,24.0,4.8,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,20002.52025624097
64,29.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,17,20002.52025624097
65,,,,,1,Drinks,scooter,0.0,No,Metropolitian,19,20002.520256238895
66,26.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,10,20002.520256238895
67,20.0,4.5,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,27,20002.520256238895
68,35.0,4.1,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,37,20002.520256238895
69,39.0,4.6,Fog,Jam,1,Drinks,scooter,2.0,No,Metropolitian,44,20002.520256236596
70,34.0,4.7,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,28,20002.520256236596
71,27.0,4.7,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,42,20002.520256236596
72,30.0,4.8,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,25,20002.520256217802
73,25.0,4.4,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,39,20002.520256217802
74,25.0,4.7,Stormy,Medium,0,Meal,motorcycle,0.0,No,Urban,20,20002.520256217802
75,30.0,5.0,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,31,20002.520256217802
76,24.0,4.6,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,13,20002.520256211184
77,39.0,4.8,Stormy,Jam,1,Meal,motorcycle,,No,Metropolitian,28,20002.520256211184
78,25.0,4.8,Windy,High,1,Snack,scooter,1.0,No,Urban,19,20002.520256211184
79,37.0,4.6,Fog,Low,0,Buffet,motorcycle,2.0,Yes,Urban,42,20002.520256208547
80,24.0,5.0,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,20002.520256208547
81,25.0,4.2,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,39,20002.520256208547
82,32.0,4.6,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,25,20002.520256208547
83,34.0,4.7,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,15,20002.520256200485
84,38.0,4.9,Cloudy,Low,2,Drinks,scooter,1.0,No,Urban,15,20002.520256200485
85,36.0,4.8,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,15,20002.520256200485
86,25.0,5.0,Stormy,Jam,1,Meal,motorcycle,,No,Metropolitian,15,20002.520256200485
87,29.0,5.0,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,18,20002.52025619676
88,36.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,29,20002.52025619676
89,33.0,4.7,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,20,20002.52025619676
90,36.0,4.4,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,39,20002.52025619676
91,21.0,4.8,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,19,20002.52025619003
92,25.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Urban,19,20002.52025619003
93,23.0,4.8,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,17,20002.52025619003
94,25.0,4.6,Stormy,Low,2,Snack,motorcycle,1.0,No,Urban,15,20002.52025619003
95,24.0,4.3,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Urban,19,20002.520256189728
96,27.0,4.6,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.520256189728
97,23.0,4.8,Cloudy,Low,2,Snack,scooter,1.0,No,Urban,22,20002.520256189728
98,21.0,4.3,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,42,20002.520256177275
99,27.0,4.7,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,12,20002.520256177275
100,32.0,4.2,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,38,20002.520256177275
101,25.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,20002.520251727365
102,39.0,4.7,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,15,20002.520251719383
103,27.0,4.6,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,20002.520251719383
104,39.0,3.8,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,37,20002.520251676986
105,31.0,4.8,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,24,20002.520251676986
106,31.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,13,20002.520251676986
107,20.0,4.8,Cloudy,Low,0,Drinks,motorcycle,0.0,No,,16,20002.5202516745
108,36.0,4.9,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,42,20002.5202516745
109,20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,17,20002.5202516745
110,24.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,25,20002.5202516745
111,,,,,3,Snack,electric_scooter,0.0,No,Metropolitian,25,20002.5202516745
112,39.0,4.2,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,39,20002.5202516745
113,37.0,4.8,Sunny,High,2,Meal,scooter,0.0,No,Metropolitian,18,20002.5202516745
114,32.0,4.9,Sandstorms,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,28,20002.5202516745
115,22.0,4.5,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,20002.520251672508
116,23.0,4.9,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,18,20002.520251672508
117,33.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,49,20002.520251672508
118,23.0,,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,15,20002.520251672293
119,27.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.520251672293
120,34.0,4.7,Sunny,High,2,Snack,scooter,0.0,No,Metropolitian,23,20002.520251672293
121,26.0,5.0,Fog,Low,2,Meal,scooter,1.0,No,Urban,11,20002.520251672246
122,31.0,4.6,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,25,20002.520251672246
123,32.0,4.9,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,18,20002.520251671245
124,27.0,4.7,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,14,20002.520251671245
125,21.0,4.9,Windy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,36,20002.520251671245
126,28.0,4.8,Fog,Low,1,Drinks,motorcycle,,No,Metropolitian,18,20002.520251671245
127,24.0,4.9,Fog,Medium,1,Meal,scooter,1.0,No,Urban,17,20002.520251671245
128,33.0,4.4,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,20002.520251671245
129,20.0,4.6,Fog,Jam,0,Buffet,motorcycle,0.0,Yes,Metropolitian,44,20002.520251671107
130,31.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20,20002.520251671107
131,,,Stormy,Low,2,Snack,scooter,0.0,No,,19,20002.520251671107
132,36.0,5.0,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,35,20002.520251669677
133,31.0,4.2,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,50,20002.520251669677
134,39.0,4.1,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,34,20002.520251669677
135,29.0,4.6,Sunny,Jam,2,Meal,electric_scooter,,No,Metropolitian,17,20002.520251668342
136,29.0,4.6,Sandstorms,High,1,Snack,scooter,0.0,No,Urban,23,20002.520251668342
137,37.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.520251668342
138,33.0,4.7,Cloudy,High,0,Snack,motorcycle,0.0,No,Urban,26,20002.520251668342
139,31.0,3.9,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,35,20002.520251666898
140,37.0,4.6,Windy,High,0,Drinks,motorcycle,1.0,No,Urban,41,20002.520251666898
141,26.0,4.4,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,23,20002.520251666898
142,24.0,4.6,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,30,20002.520251666898
143,23.0,4.8,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,19,20002.52025139077
144,36.0,4.9,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,20002.52025139077
145,39.0,4.8,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,28,20002.52025139077
146,20.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,24,20002.52025139077
147,20.0,5.0,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Urban,36,20002.52025139077
148,29.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,28,20002.52025139077
149,36.0,4.8,Fog,Medium,2,Drinks,motorcycle,1.0,No,Urban,31,20002.52025139077
150,36.0,4.0,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,44,20002.52025139077
151,22.0,4.8,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,15,20002.52025139077
152,38.0,4.4,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,20002.52025139077
153,39.0,4.9,Fog,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,30,20002.52025139077
154,24.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,20002.52025139077
155,30.0,4.1,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,43,20002.52025139077
156,35.0,4.8,Fog,Medium,0,Meal,motorcycle,3.0,No,Metropolitian,48,20002.52025139077
157,33.0,4.5,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,20002.52025139077
158,39.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Urban,21,20002.520251342885
159,31.0,4.3,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,44,20002.520251342885
160,37.0,4.5,Windy,Low,2,Drinks,scooter,0.0,No,Metropolitian,26,20002.520251342885
161,37.0,4.7,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,26,20002.520251342885
162,33.0,5.0,Windy,High,1,Meal,motorcycle,1.0,No,Metropolitian,31,20002.520251342885
163,24.0,4.6,Stormy,Low,2,Meal,scooter,1.0,No,Urban,19,20002.520251342885
164,33.0,4.5,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,18,20002.520251342885
165,39.0,4.7,Fog,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,38,20002.520251342885
166,37.0,4.6,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,32,20002.520251342885
167,25.0,4.9,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,17,20002.520251342885
168,28.0,4.8,Fog,Medium,1,Buffet,scooter,1.0,No,Urban,11,20002.520251342885
169,38.0,4.7,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,31,20002.520251342885
170,,,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,43,20002.520251332953
171,31.0,4.6,Windy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,25,20002.520251332953
172,25.0,4.8,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,22,20002.520251332953
173,35.0,4.9,Fog,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,43,20002.520251332953
174,39.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,42,20002.520251332953
175,38.0,3.9,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,42,20002.520251332953
176,35.0,4.7,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,34,20002.520251332953
177,29.0,4.7,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,17,20002.520251332953
178,27.0,4.6,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,25,20002.520251332953
179,38.0,4.3,Sandstorms,Jam,0,Meal,motorcycle,1.0,Yes,Semi-Urban,54,20002.520251332953
180,36.0,4.9,Windy,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,21,20002.520251332953
181,26.0,4.0,Cloudy,High,1,Buffet,motorcycle,,No,Metropolitian,34,20002.520251332953
182,26.0,4.1,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,36,20002.520251332953
183,36.0,4.9,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,17,20002.520251332953
184,21.0,4.7,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,20002.520251332953
185,35.0,4.7,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,27,20002.520251332953
186,20.0,4.5,Fog,High,2,Meal,motorcycle,1.0,No,Metropolitian,26,20002.520251332742
187,23.0,4.6,Fog,Jam,0,Snack,motorcycle,2.0,Yes,Metropolitian,46,20002.520251332742
188,37.0,5.0,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,29,20002.520251332742
189,26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,23,20002.520251332742
190,29.0,5.0,Sandstorms,Low,1,Snack,scooter,,No,Urban,11,20002.520251332742
191,26.0,4.9,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,28,20002.520251332742
192,29.0,4.8,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,25,20002.520251332742
193,29.0,4.7,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Metropolitian,11,20002.520251332742
194,21.0,4.9,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,26,20002.520251332742
195,22.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,20002.520251332742
196,31.0,4.0,Fog,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,39,20002.520251332742
197,20.0,4.5,Fog,Low,1,Snack,motorcycle,0.0,No,,11,20002.520251332742
198,30.0,3.9,Stormy,Jam,2,Drinks,electric_scooter,,No,Metropolitian,32,20002.520251332742
199,36.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,43,20002.520251332742
200,24.0,4.7,Fog,Medium,1,Buffet,scooter,,No,Metropolitian,13,20002.520251332055
201,32.0,4.7,Windy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,25,20002.520251332055
202,25.0,5.0,Windy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,27,20002.520251332055
203,27.0,4.5,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,29,20002.520251332055
204,32.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,20002.520251332055
205,23.0,4.7,Fog,Medium,1,Drinks,motorcycle,1.0,No,Urban,19,20002.520251332055
206,39.0,4.4,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,33,20002.520251332055
207,20.0,4.8,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,28,20002.520251332055
208,20.0,4.8,Windy,Medium,2,Drinks,electric_scooter,0.0,No,,15,20002.520251332055
209,29.0,4.6,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,29,20002.520251332055
210,26.0,4.9,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20002.520251332055
211,25.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,14,20002.520251332055
212,34.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,30,20002.520251332055
213,31.0,4.9,Sunny,High,0,Snack,motorcycle,0.0,No,Metropolitian,28,20002.520251332055
214,24.0,4.7,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,39,20002.520251332055
215,30.0,4.9,Cloudy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,30,20002.520251332055
216,36.0,4.8,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,36,20002.520251332055
217,36.0,4.4,Fog,Low,0,Snack,motorcycle,,No,Metropolitian,37,20002.520251332055
218,26.0,4.7,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,43,20002.520251329926
219,30.0,4.6,Sunny,Low,2,Buffet,scooter,1.0,No,,29,20002.520251329926
220,20.0,4.8,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,25,20002.520251329926
221,33.0,4.7,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Urban,15,20002.520251329926
222,,,Sandstorms,Jam,1,Snack,scooter,0.0,No,Metropolitian,24,20002.520251329926
223,34.0,4.0,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,39,20002.520251329926
224,36.0,4.6,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.520251329926
225,33.0,4.6,Fog,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,15,20002.520251329926
226,22.0,4.8,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,16,20002.520251329926
227,38.0,4.7,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,19,20002.520251329926
228,27.0,4.9,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,20,20002.520251329926
229,32.0,4.8,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,25,20002.520251329926
230,26.0,4.8,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,43,20002.520251329177
231,29.0,4.5,Windy,Low,0,Drinks,motorcycle,0.0,No,Urban,15,20002.520251329177
232,31.0,4.5,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Urban,29,20002.520251329177
233,28.0,4.6,Stormy,High,2,Drinks,motorcycle,0.0,No,Metropolitian,14,20002.520251329177
234,21.0,4.8,Sunny,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,11,20002.520251329177
235,21.0,4.0,Sandstorms,Low,0,Buffet,motorcycle,,No,Metropolitian,19,20002.520251329177
236,30.0,4.9,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.520251329177
237,29.0,4.7,Cloudy,Medium,2,Buffet,motorcycle,1.0,No,Urban,11,20002.520251329177
238,20.0,4.8,Sunny,High,1,Snack,motorcycle,0.0,No,Metropolitian,14,20002.520251329177
239,28.0,5.0,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,15,20002.520251329177
240,25.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,20002.520251329177
241,,,,,3,Buffet,motorcycle,1.0,Yes,Urban,43,20002.520251329177
242,38.0,4.8,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.520251329177
243,39.0,4.9,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,26,20002.520251329177
244,26.0,4.9,Windy,Medium,1,Snack,scooter,0.0,No,Metropolitian,26,20002.520251329177
245,33.0,4.4,Windy,Jam,1,Meal,motorcycle,0.0,No,Urban,43,20002.520251327653
246,24.0,4.6,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Urban,25,20002.520251327653
247,24.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,28,20002.520251327653
248,33.0,4.5,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,17,20002.520251327653
249,35.0,4.2,Windy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,44,20002.520251327653
250,27.0,4.2,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,33,20002.520251327653
251,,,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,20002.520251327653
252,29.0,4.5,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,15,20002.520251327653
253,34.0,4.7,Fog,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,20002.520251327653
254,20.0,4.7,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,25,20002.520251327653
255,29.0,4.8,Sunny,High,1,Drinks,motorcycle,1.0,No,Metropolitian,18,20002.520251327653
256,22.0,4.9,Stormy,Medium,2,Snack,scooter,0.0,No,Metropolitian,21,20002.520251327653
257,35.0,4.9,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,53,20002.520251327653
258,32.0,4.4,Sandstorms,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,42,20002.520251320853
259,28.0,4.9,Sunny,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,20,20002.520251320853
260,30.0,4.7,Fog,Low,1,Meal,scooter,0.0,No,Metropolitian,29,20002.520251320853
261,22.0,4.7,Stormy,Jam,2,Snack,scooter,0.0,No,Urban,15,20002.520251320853
262,36.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,30,20002.520251320853
