,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
44,9869,32.0,5.0,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,12.237167878481253
45,33864,29.0,4.6,Fog,Low,1,Drinks,motorcycle,1.0,No,,29,19.658727827951044
46,22670,26.0,4.5,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,35,17.137414711860412
47,18963,36.0,4.6,Sandstorms,Low,2,Meal,electric_scooter,1.0,No,Urban,23,4.4684124408860795
48,18302,20.0,5.0,Sunny,Low,1,Meal,motorcycle,1.0,No,Metropolitian,16,1.5580838613499712
49,41847,26.0,4.6,Sunny,Medium,2,Snack,scooter,1.0,No,Metropolitian,18,10.867426834284053
50,27026,,,,,3,Buffet,motorcycle,1.0,No,Metropolitian,18,9.07448631631149
51,31499,22.0,4.7,Windy,Low,1,Snack,scooter,0.0,No,Metropolitian,16,17.297865752893937
52,6146,36.0,4.0,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,43,10.642283429414249
53,14199,39.0,4.6,Fog,Low,1,Buffet,scooter,1.0,No,Urban,16,3.105095438251917
54,7240,28.0,4.7,Cloudy,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,39,16.648658888152998
55,19360,34.0,4.7,Sandstorms,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,28,4.5609611909558545
56,41482,27.0,5.0,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,40,13.631440268137917
57,15626,36.0,4.4,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,36,17.297865752893937
58,28496,21.0,4.8,Stormy,Low,2,Snack,scooter,0.0,No,Urban,14,13.990019508115392
59,16192,26.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,1.5581244295227354
60,44484,26.0,4.1,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,18,7.76077562135016
61,23621,38.0,4.8,Fog,Low,0,Buffet,motorcycle,1.0,Yes,Metropolitian,43,13.788852090000775
62,6061,31.0,4.5,Sunny,Jam,2,Snack,scooter,1.0,No,Metropolitian,16,4.610390241110355
63,11186,38.0,4.9,Fog,Low,2,Buffet,scooter,1.0,No,Metropolitian,17,1.5368588604909863
64,30588,25.0,4.2,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,15,1.554514379490486
65,41822,24.0,5.0,Cloudy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,15,7.631413514334402
66,25337,28.0,4.8,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,24,10.756415548602094
67,2710,31.0,4.5,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,28,9.314115494414798
68,9808,33.0,4.6,Sunny,Low,2,Snack,motorcycle,1.0,No,Urban,20,20.25308886852266
69,9225,29.0,5.0,Sunny,Low,0,Meal,motorcycle,1.0,No,Urban,26,12.256076445503636
70,3944,33.0,4.6,Windy,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,28,3.1053645456860735
71,23469,27.0,4.6,Stormy,Jam,2,Drinks,motorcycle,1.0,No,Urban,21,20.253748386840975
72,5543,38.0,3.8,Sunny,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,34,12.237791614989472
73,37774,30.0,4.7,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Urban,25,4.596926090794335
74,7724,35.0,5.0,Sandstorms,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,34,7.772466272092122
75,13211,25.0,3.9,Sunny,High,0,Drinks,motorcycle,1.0,Yes,Metropolitian,45,6.037614687035504
76,774,32.0,5.0,Sandstorms,Jam,1,Meal,scooter,0.0,No,Metropolitian,25,19.890503583969085
77,16723,36.0,4.9,Sandstorms,Low,2,Buffet,scooter,0.0,No,Metropolitian,21,1.5524082339641314
78,26394,28.0,4.4,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,32,13.682516298648101
79,7179,20.0,4.5,Windy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,19,19.975642174492922
80,4612,27.0,5.0,Stormy,Medium,1,Buffet,scooter,1.0,No,Urban,19,10.756273454102447
81,35817,32.0,4.4,Fog,Low,0,Drinks,motorcycle,1.0,No,Urban,41,19.362561679300065
82,5751,37.0,4.2,Fog,High,2,Meal,motorcycle,1.0,No,Metropolitian,36,6.29013467758336
83,19775,22.0,4.7,Fog,Jam,2,Buffet,electric_scooter,2.0,No,Metropolitian,33,4.591636071443373
84,34945,22.0,4.7,Fog,High,0,Snack,motorcycle,1.0,No,Metropolitian,22,3.1450674354101187
85,5150,34.0,4.9,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,22,3.0735433644336103
86,27005,,,Cloudy,Low,2,Meal,scooter,0.0,No,Urban,18,9.087965500946755
87,33896,24.0,4.6,Cloudy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,14,1.5305886459133555
88,26305,29.0,4.9,Sandstorms,Jam,1,Drinks,scooter,0.0,No,Urban,28,13.768718508442738
89,42186,31.0,4.6,Windy,Medium,1,Snack,scooter,0.0,No,Urban,22,12.434913132148044
90,16467,30.0,4.8,Windy,Jam,2,Meal,scooter,1.0,No,Urban,29,13.763977224483765
91,29638,27.0,4.8,Windy,High,1,Meal,motorcycle,1.0,No,Metropolitian,26,3.0605577738082954
92,17607,25.0,4.5,Sandstorms,Low,2,Meal,motorcycle,1.0,No,Metropolitian,19,20.506944148074933
93,15590,28.0,4.7,Cloudy,High,2,Snack,motorcycle,1.0,No,Metropolitian,26,6.29013467758336
94,26374,30.0,4.8,Stormy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,12.29272274126012
95,14520,24.0,4.0,Fog,High,1,Drinks,scooter,1.0,No,Metropolitian,31,6.118933768592631
96,41115,39.0,4.0,Fog,Medium,2,Drinks,scooter,2.0,No,,39,20.180936931742092
97,17042,21.0,4.6,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,4.65785773323521
98,27787,20.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,12,4.631691360811018
99,7280,31.0,4.9,Stormy,Low,1,Drinks,scooter,0.0,No,Metropolitian,24,12.58026782216666
100,41767,37.0,4.7,Cloudy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,15,6.147073150981206
101,29625,,,Fog,Medium,1,Drinks,scooter,1.0,No,Metropolitian,37,19.659494006265856
102,7656,30.0,4.9,Sandstorms,High,1,Snack,scooter,1.0,No,Metropolitian,29,3.025079988073344
103,33796,38.0,4.4,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,34,20.442929762531403
104,1179,20.0,4.8,Sunny,Low,2,Buffet,scooter,1.0,No,Metropolitian,21,4.65800942830899
105,20609,36.0,4.5,Cloudy,Medium,0,Snack,motorcycle,1.0,Yes,Urban,47,20.442929762531403
106,30972,28.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,36,12.07439552546008
107,1425,27.0,4.6,Cloudy,Jam,1,Buffet,motorcycle,1.0,No,Urban,27,7.5734628890776365
108,30217,30.0,3.5,Windy,Medium,2,Buffet,motorcycle,,No,Metropolitian,39,13.40703366833951
109,7102,22.0,4.9,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,21,12.241181140502974
110,518,26.0,4.7,Stormy,Low,2,Snack,scooter,0.0,No,Metropolitian,14,14.022136830347735
111,34099,36.0,4.7,Sunny,Medium,1,Drinks,scooter,1.0,No,Metropolitian,23,4.663411524538562
112,8663,24.0,4.5,Fog,Low,1,Buffet,scooter,1.0,No,Urban,27,10.586910515318413
113,954,23.0,4.6,Sunny,Medium,1,Drinks,scooter,0.0,No,Metropolitian,13,20.25378851619142
114,35378,34.0,4.6,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Urban,30,4.528183776374744
115,8996,38.0,4.8,Sunny,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,23,8.942954308288511
116,10954,39.0,4.7,Sunny,Jam,0,Meal,motorcycle,1.0,No,Urban,20,4.717601091654031
117,28773,36.0,4.0,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,27,9.192496429439984
118,4198,29.0,4.8,Fog,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,38,13.622067322449091
119,23274,24.0,4.9,Sandstorms,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,22,12.435806040948572
120,25251,24.0,4.7,Sandstorms,Jam,2,Meal,scooter,1.0,No,,28,7.5456323539330965
121,21030,36.0,3.6,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,34,10.757499696887614
122,7947,30.0,4.8,Cloudy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,28,4.53016303351925
123,15871,26.0,4.6,Sunny,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,11,6.147127365859639
124,38754,,,Stormy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,29,10.641157729145194
125,38844,25.0,4.8,Fog,Low,0,Meal,motorcycle,0.0,No,Urban,15,2.979500009128889
126,40522,25.0,4.9,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,21,13.97314205020679
127,30641,20.0,4.5,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,28,13.971216616840227
128,35941,27.0,5.0,Windy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,29,7.448560816528524
129,31360,38.0,4.8,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,27,1.55449948948158
130,44513,26.0,4.6,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,29,20.848074005343257
131,16695,27.0,4.8,Windy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,27,19.76188003558885
132,19705,,,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,25,7.790314135648433
133,24242,24.0,4.6,Fog,Low,2,Meal,electric_scooter,1.0,No,Urban,10,4.4648087500311995
134,5824,31.0,4.3,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,37,17.07802860147151
135,11157,,,Cloudy,High,2,Meal,motorcycle,1.0,No,Urban,24,6.14716055847898
136,10793,23.0,4.8,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,31,16.981594342091118
137,34867,21.0,4.9,Cloudy,Low,2,Meal,electric_scooter,0.0,No,Urban,20,12.257118232949185
138,44094,33.0,4.7,Fog,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,19,3.1450674354101187
139,2054,37.0,4.9,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Urban,27,13.766855008643477
140,29627,20.0,4.8,Cloudy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,37,12.351979249269837
141,3051,37.0,4.4,Fog,High,0,Drinks,motorcycle,1.0,No,Metropolitian,31,6.050406061320017
142,28595,23.0,4.8,Fog,Medium,1,Buffet,scooter,0.0,No,Urban,17,6.29013467758336
143,22033,35.0,4.7,Cloudy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,34,3.1046059546198688
144,26048,24.0,4.9,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,16,7.573523734238649
145,37997,31.0,4.1,Windy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,37,14.02226886024068
146,37627,37.0,4.9,Fog,Jam,0,Drinks,motorcycle,1.0,No,Urban,47,20.50668580987946
147,28826,31.0,4.9,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,31,3.105144914005584
148,73,25.0,4.4,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,39,17.072871906379
149,31699,31.0,4.9,Stormy,High,1,Meal,motorcycle,0.0,No,Metropolitian,26,6.210618493070031
150,1384,36.0,4.6,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Urban,25,6.050094908808069
151,23114,39.0,4.6,Stormy,Low,2,Snack,scooter,1.0,No,Metropolitian,29,3.1044353979039836
152,34707,33.0,5.0,Windy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,25,1.5368369038841396
153,18209,30.0,4.6,Fog,Medium,2,Buffet,scooter,0.0,No,Metropolitian,19,7.34298387294895
154,34895,35.0,4.9,Sandstorms,Low,2,Buffet,scooter,0.0,No,Metropolitian,20,3.108988330546308
155,8359,25.0,4.8,Sunny,High,1,Snack,motorcycle,1.0,No,Metropolitian,11,5.969045594304528
156,34154,21.0,4.8,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,23,16.38847819601897
157,19147,24.0,4.5,Sunny,Medium,2,Buffet,scooter,0.0,,,12,12.098934379976342
158,1981,20.0,4.5,Sunny,Medium,2,Drinks,motorcycle,0.0,No,Urban,11,12.234750048703493
159,24420,37.0,4.6,Sunny,Medium,2,Meal,scooter,1.0,No,Metropolitian,26,17.137487720349842
160,728,23.0,4.5,Windy,Medium,2,Drinks,scooter,1.0,No,Urban,26,20.18348136584721
161,14047,34.0,4.4,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,9.348114492110938
162,29888,28.0,5.0,Cloudy,Low,0,Snack,motorcycle,0.0,No,,16,3.1050835228870928
163,41207,26.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,0.0,No,Urban,12,16.90280673247877
164,5161,36.0,4.3,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,38,13.582342704316641
165,44353,28.0,5.0,Fog,Medium,2,Meal,scooter,0.0,No,Metropolitian,30,10.588906536496683
166,26709,26.0,4.9,Sandstorms,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,23,10.866215152778492
167,24547,23.0,4.7,Fog,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,29,7.7901589271416665
168,23198,20.0,4.7,Stormy,Medium,1,Snack,motorcycle,1.0,No,Urban,25,4.540565975263399
169,28827,28.0,4.5,Cloudy,Medium,2,Drinks,electric_scooter,1.0,No,Urban,15,6.146925931687851
170,5022,38.0,4.8,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,37,9.220865974717585
171,33252,30.0,4.4,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,24,1.5605584639704098
172,18398,31.0,4.0,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,27,9.12142167382002
173,8291,22.0,4.6,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,23,13.828140500466104
174,33094,35.0,4.9,Sunny,Medium,1,Drinks,scooter,1.0,No,Urban,17,4.6316346206362775
175,7369,23.0,4.6,Windy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,22,7.601616771126665
176,24692,39.0,4.6,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,28,16.903814838139517
177,215,30.0,4.9,Cloudy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,30,13.830084721902905
178,4922,31.0,4.6,Windy,Low,1,Meal,scooter,,No,Metropolitian,20,1.5524064563113753
179,33837,21.0,5.0,Windy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,20,6.147383751654469
180,31598,31.0,4.4,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,27,1.5527577995613158
181,28300,26.0,4.9,Sandstorms,Low,1,Buffet,scooter,0.0,No,,19,4.537905322756623
182,13304,,,Fog,Low,2,Snack,electric_scooter,1.0,No,Urban,11,1.5525533141576968
183,39815,34.0,4.0,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,49,9.219783818006203
184,4093,25.0,4.8,Windy,Jam,1,Drinks,motorcycle,0.0,No,Urban,18,13.830084721902905
185,16022,34.0,4.9,Fog,Jam,2,Buffet,scooter,1.0,No,Metropolitian,27,4.657568578799087
186,39447,,,,,2,Snack,electric_scooter,0.0,No,Metropolitian,21,17337.66825614477
187,6891,23.0,5.0,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,22,12.418981672072741
188,33210,35.0,4.6,Sandstorms,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,29,16.60809480408425
189,29899,26.0,4.9,Stormy,Medium,2,Buffet,scooter,0.0,No,Metropolitian,28,7.76260589030177
190,18509,24.0,5.0,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,18,4.395555480533581
191,6563,22.0,4.6,Stormy,High,2,Snack,motorcycle,1.0,No,Metropolitian,17,5.959357904205738
192,11936,30.0,5.0,Sandstorms,High,1,Buffet,scooter,1.0,No,Metropolitian,31,6.118630884362266
193,23584,26.0,4.6,Fog,Medium,1,Drinks,scooter,1.0,No,Metropolitian,25,10.586817607031357
194,13076,31.0,4.9,Sunny,Jam,1,Drinks,motorcycle,1.0,No,,20,4.717601091654031
195,28490,25.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,30,12.293433786744727
196,42310,34.0,4.3,Cloudy,High,0,Meal,motorcycle,2.0,No,Metropolitian,33,5.9587598691023596
197,23393,26.0,4.6,Cloudy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,21,17.09792543533538
198,38300,26.0,4.8,Fog,High,2,Buffet,scooter,1.0,No,Metropolitian,30,6.040077478816336
199,28473,,,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,40,13.789630730037711
200,1744,20.0,4.5,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,23,6.210618493070031
201,45477,36.0,4.2,Stormy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,49,17.097996940025908
202,12597,39.0,3.8,Sandstorms,Jam,2,Buffet,scooter,1.0,No,Metropolitian,40,10.906149360772611
203,9381,35.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,27,1.5368285425757406
204,18032,37.0,4.7,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,26,7.601681384925355
205,37151,22.0,4.5,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Urban,16,1.5523584768849845
206,4644,34.0,4.6,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,49,12.58026782216666
207,18318,38.0,4.7,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,28,14.022295961692818
208,26761,20.0,4.9,Windy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,29,16.63687503884221
209,17022,28.0,4.7,Cloudy,Medium,2,Meal,scooter,0.0,No,Urban,19,7.573429885075215
210,34241,29.0,4.7,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,19,1.5526968770522136
211,19419,26.0,4.6,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,22,10.642283429414249
212,18324,20.0,5.0,Sandstorms,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,10,17.297865752893937
213,18250,35.0,4.9,Sunny,Jam,1,Buffet,scooter,1.0,No,Metropolitian,22,7.862668167467362
214,4276,39.0,5.0,Sandstorms,Medium,2,Snack,scooter,0.0,No,Metropolitian,31,4.469351491031127
215,41751,,,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,15,16.60140833424277
216,15660,27.0,4.7,Sandstorms,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,23,7.646049300680188
217,7202,23.0,4.9,Fog,Medium,1,Meal,motorcycle,2.0,No,Metropolitian,37,20.442929762531403
218,41589,20.0,4.9,Stormy,Low,1,Drinks,scooter,1.0,No,Metropolitian,17,7.54640142152957
219,33489,,,Sandstorms,High,2,Buffet,electric_scooter,,,Urban,13,1.512714082847347
220,13202,31.0,4.7,Sandstorms,Low,2,Snack,electric_scooter,0.0,No,Metropolitian,24,9.326428318480563
221,32190,31.0,4.2,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,20,2.9765891403894402
222,31829,32.0,4.0,Fog,Medium,1,Meal,motorcycle,2.0,No,Metropolitian,39,16.601197594933343
223,861,27.0,4.1,Fog,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,44,10.641490945301157
224,41930,30.0,4.7,Stormy,Low,2,Snack,scooter,1.0,No,Metropolitian,27,12.464066309561852
225,33629,36.0,4.6,Stormy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,23,10.602507301323975
226,5473,37.0,4.8,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,28,1.5297989502086433
227,31396,24.0,4.1,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Urban,35,4.657672650228106
228,39887,33.0,3.7,Stormy,Medium,2,Drinks,scooter,2.0,No,Metropolitian,37,13.681056958969442
229,11179,39.0,4.6,Windy,Low,1,Drinks,scooter,0.0,No,Metropolitian,24,3.105095438251917
230,1155,21.0,4.5,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,29,7.6010279314592974
231,44147,30.0,4.9,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,22,9.314419797291626
232,26309,37.0,4.8,Sunny,Low,2,Meal,scooter,0.0,No,Metropolitian,19,9.220418694238614
233,41645,21.0,4.6,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,15,14.152800689506924
234,28066,23.0,4.8,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,10.70416127123685
235,24162,28.0,4.7,Windy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,25,5.952987295201308
236,28269,31.0,4.4,Fog,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,38,10.868244074344394
237,40551,,,Sunny,High,1,Buffet,motorcycle,1.0,No,Metropolitian,15,3.0188687427655365
238,44505,,,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,34,1.5322236077443459
239,37921,37.0,4.8,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,27,17.297865752893937
240,44402,23.0,4.5,Windy,Low,1,Buffet,motorcycle,0.0,No,Urban,13,16.90290998367753
241,11927,32.0,4.5,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Urban,27,3.105095438251917
242,13629,36.0,5.0,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,46,16.600060265872717
243,18662,21.0,4.9,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,19,1.536842085588124
244,29144,31.0,5.0,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,30,20.253686746642945
245,35125,36.0,3.6,Windy,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,41,12.435302723251514
246,21682,31.0,4.8,Sunny,Medium,2,Snack,scooter,1.0,No,Metropolitian,19,4.61059803309491
247,1694,36.0,4.9,Stormy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,30,4.656811824475263
